City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Kumluca,TR,85.8,clear sky,36.37,30.29,TurkuazKöy
3,Dingle,PH,76.44,overcast clouds,11.0,122.67,Camp Pasica
4,Malumfashi,NG,73.35,overcast clouds,11.79,7.62,INFINITY CYBER CAFE MALUMFASHI
8,Melito Di Porto Salvo,IT,82.4,clear sky,37.92,15.77,B&B Nereidi
9,Hilo,US,82.4,few clouds,19.73,-155.09,Hilo Hawaiian Hotel
10,Sibolga,ID,74.88,broken clouds,1.74,98.78,Hotel Syariah CN Darussalam
13,Sur,OM,81.16,overcast clouds,22.57,59.53,Sur Plaza Hotel
14,Tetiz,MX,93.2,broken clouds,20.97,-89.93,LAS CABAÑAS DE XOCHITL
16,Santa Isabel Do Rio Negro,BR,89.82,light rain,-0.41,-65.02,Hotel GSA
21,Caravelas,BR,71.87,overcast clouds,-17.71,-39.25,Pousada dos Navegantes
22,Ribeira Grande,PT,73.4,scattered clouds,38.52,-28.7,Quinta da Meia Eira
23,Bathsheba,BB,87.8,few clouds,13.22,-59.52,Atlantis Hotel
25,Marsh Harbour,BS,85.06,clear sky,26.54,-77.06,Abaco Beach Resort
27,Teknaf,BD,79.74,light rain,20.86,92.31,Magnum Engineering & Construction
29,Vaini,TO,75.2,few clouds,-21.2,-175.2,Keleti Beach Resort
30,Port Blair,IN,82.22,overcast clouds,11.67,92.75,Fortune Resort Bay Island
35,Hasaki,JP,77.0,mist,35.73,140.83,Inubosaki Kanko Hotel
37,Kudahuvadhoo,MV,84.38,few clouds,2.67,72.89,Kudahuvadhoo Retreat
38,Cabo San Lucas,MX,91.4,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
39,Broska,UA,75.2,scattered clouds,45.37,28.78,Art-Hotelʹ
54,Abu Kamal,SY,86.16,clear sky,34.45,40.92,محطة التلفاز
55,Hwange,ZW,71.01,overcast clouds,-18.37,26.5,Hwange Colliery Guest House
56,Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
58,Bumba,CD,73.62,overcast clouds,2.18,22.47,Hôtel Cape Town
59,Turner,US,77.0,light rain,44.26,-70.26,Turner Masonic Lodge # 101
62,Hithadhoo,MV,83.48,clear sky,-0.6,73.08,Scoop Guest House
64,Tomatlan,MX,92.79,scattered clouds,19.93,-105.25,Norma franco
65,Dongying,CN,71.19,clear sky,37.46,118.49,Wanda Realm
66,Atuona,PF,78.35,light rain,-9.8,-139.03,Villa Enata
68,Xuanzhou,CN,77.23,clear sky,30.95,118.76,Nanfang Hotel
74,North Bend,US,73.99,clear sky,43.41,-124.22,Red Lion Hotel Coos Bay
75,Kalemie,CD,71.91,scattered clouds,-5.95,29.19,Mahobilali
76,Tianpeng,CN,77.0,heavy intensity rain,30.99,103.94,Shuangliu Love Home Business Hotel
86,Jamestown,US,84.99,broken clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
87,San Cristobal,VE,93.2,scattered clouds,7.77,-72.22,Pirineos
91,Abha,SA,71.6,haze,18.22,42.51,Abha Hotel
95,Sangrur,IN,81.3,clear sky,30.23,75.83,STARiHOTEL Sangrur
97,Port-Gentil,GA,77.0,scattered clouds,-0.72,8.78,Fengshui Residence
99,Garwa,IN,77.81,overcast clouds,24.18,83.82,A.PS.D Utsav Garden
102,Saint-Francois,FR,73.4,overcast clouds,46.42,3.91,Manoir Du Bonheur
111,Kapaa,US,84.2,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
112,Locri,IT,81.0,clear sky,38.24,16.26,Grand Hotel President
116,Camargo,MX,96.46,clear sky,27.67,-105.17,Hotel Santa Fe
122,Victoria,HK,82.0,scattered clouds,22.29,114.16,Mini Hotel Central
123,Samarai,PG,75.65,overcast clouds,-10.62,150.67,Nuli Sapi
124,Toccoa,US,84.2,clear sky,34.58,-83.33,Quality Inn
129,Isangel,VU,73.4,few clouds,-19.55,169.27,Volcano Sea View Tree House
130,Aswan,EG,89.85,clear sky,24.09,32.91,Nuba Nile
134,Tutoia,BR,82.69,clear sky,-2.76,-42.27,Pousada Guará's
138,Alofi,NU,75.2,clear sky,-19.06,-169.92,Taloa Heights
139,Puerto Ayora,EC,75.2,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
140,Phuket,TH,84.99,few clouds,8.0,98.25,The Surin Phuket
143,Nanakuli,US,82.4,clear sky,21.39,-158.15,Camp Palehua
146,Kupang,ID,72.36,clear sky,-10.17,123.58,Sylvia Hotel Premier Kupang
147,Meulaboh,ID,74.73,overcast clouds,4.14,96.13,Kost Pria
149,Tagusao,PH,79.93,broken clouds,9.19,117.81,"Shaman's Breath- Beach, Bed & Breakfast"
150,Redlands,US,95.0,haze,34.06,-117.18,Dynasty Suites Redlands
154,Santa Maria Da Vitoria,BR,93.76,broken clouds,-13.39,-44.19,Pousada do Rio Corrente
155,Grand-Santi,GF,93.45,overcast clouds,4.25,-54.38,Hotel La Villa Couacou
158,Clinton,US,91.99,few clouds,42.59,-82.92,River's Edge
161,Pinecrest,US,93.0,scattered clouds,25.67,-80.31,Miami Marriott Dadeland
163,Santana Do Matos,BR,95.29,scattered clouds,-5.96,-36.66,Pousada Empório
165,Kadaura,IN,79.29,overcast clouds,25.98,79.85,Dr. Umesh Kushwaha
168,Soyo,AO,74.14,clear sky,-6.13,12.37,Hotel Mpampa
169,Manono,CD,82.08,clear sky,-7.3,27.42,Hotel hewa bora
170,Karanja,IN,75.13,overcast clouds,20.48,77.48,Gurukrupa Hotel and Restaurant
173,Bengkulu,ID,76.26,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
175,Jalu,LY,84.76,clear sky,29.03,21.55,Jalu Hotel
178,Bilma,NE,98.78,scattered clouds,18.69,12.92,Expeditions Ténére voyages
179,Roma,US,82.4,few clouds,43.21,-75.46,Wingate By Wyndham Rome
182,Hami,CN,78.55,clear sky,42.8,93.45,Laoyutang Resort
184,Shimoda,JP,71.01,light rain,34.67,138.95,Shimoda Tokyu Hotel
187,Butaritari,KI,82.58,broken clouds,3.07,172.79,Isles Sunset Lodge
190,Suleja,NG,73.11,few clouds,9.18,7.18,Capy Motel
192,Timbiras,BR,92.98,overcast clouds,-4.26,-43.94,Hotel Estrela *
196,Cockburn Town,TC,84.04,overcast clouds,21.46,-71.14,Osprey Beach Hotel
197,Formosa Do Rio Preto,BR,91.83,overcast clouds,-11.05,-45.19,Porto Center Hotel
199,Bethel,US,90.0,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
201,Angoche,MZ,71.96,scattered clouds,-16.23,39.91,Guest House HESADA
204,Cotonou,BJ,75.96,scattered clouds,6.37,2.42,Novotel Cotonou Orisha
205,Muisne,EC,80.6,broken clouds,0.6,-80.03,Quinta Samay
208,Saint George,US,98.01,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
209,Nacogdoches,US,93.99,clear sky,31.6,-94.63,The Fredonia Hotel & Convention Center
211,Moussoro,TD,83.28,overcast clouds,13.64,16.49,Pharmacie alnadja Moussoro
212,Mitsamiouli,KM,77.0,few clouds,-11.38,43.28,Foyer ADM
214,Kahului,US,80.6,light rain,20.89,-156.47,Maui Seaside Hotel
217,Bow Island,CA,86.0,few clouds,49.87,-111.37,Pleasant View Lodge
222,Nuevitas,CU,91.4,scattered clouds,21.55,-77.26,Hotel Caonaba
223,Manggar,ID,81.12,broken clouds,-2.88,108.27,Guest Hotel
229,Kaduna,NG,72.64,clear sky,10.52,7.44,HAMDALA HOTEL
233,Nukus,UZ,84.2,overcast clouds,42.45,59.61,Hotel Jipek Joli
235,Lompoc,US,84.99,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
237,Nabire,ID,73.45,moderate rain,-3.37,135.48,Hotel Nusantara Nabire
240,Wanning,CN,79.66,clear sky,18.8,110.4,Paradise Hotel
242,Ipixuna,BR,87.8,broken clouds,-1.76,-48.8,Casa da Oscarina
246,Torbay,CA,70.0,scattered clouds,47.67,-52.73,Gallows Cove
253,Lagoa,PT,72.68,clear sky,39.05,-27.98,Casa Das Faias
256,Vila Franca Do Campo,PT,77.0,few clouds,37.72,-25.43,Pestana Bahia Praia
257,Port Maria,JM,89.01,clear sky,18.37,-76.89,Galina Breeze Hotel
260,Ishigaki,JP,84.15,moderate rain,24.34,124.16,Hotel Peace Land Ishigakijima
261,Porto De Moz,BR,93.25,overcast clouds,-1.75,-52.24,Floris Hotel
263,Labuhan,ID,77.14,clear sky,-6.88,112.21,bador sepret
264,Acari,PE,74.34,clear sky,-15.43,-74.62,Hospedaje Ximens
265,Talara,PE,75.2,overcast clouds,-4.58,-81.27,Hostal Oro Negro
266,Kermanshah,IR,75.2,clear sky,34.31,47.06,Sina Hotel
267,Padang,ID,78.31,moderate rain,-0.95,100.35,Mercure Padang
268,Sabang,ID,82.02,scattered clouds,5.89,95.32,Hotel Citra
269,Quelimane,MZ,71.6,few clouds,-17.88,36.89,Hotel Flamingo
272,Skiathos,GR,82.4,clear sky,39.16,23.49,BOURTZI HOTEL
276,Orocue,CO,77.76,moderate rain,4.79,-71.34,Hotel Brisas de San Miguel
277,Kuala Selangor,MY,80.6,few clouds,3.35,101.25,Apps Hotel
281,Faanui,PF,76.86,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
282,Shelburne,CA,82.4,few clouds,44.08,-80.2,The Retreat at the Farm
285,Gat,IL,82.0,clear sky,31.61,34.76,רגע בנחת
287,Tura,IN,73.83,broken clouds,25.52,90.22,Hotel RIKMAN Continental
290,San Miguel,SV,80.6,scattered clouds,13.48,-88.18,Excalibur
291,Terrell,US,93.99,few clouds,32.74,-96.28,Holiday Inn Express & Suites Terrell
292,Aksu,CN,76.75,clear sky,41.12,80.26,Pudong Holiday Hotel
293,Obuasi,GH,72.97,light rain,6.21,-1.66,Mawuli Hotel
295,Oranjestad,AW,86.0,scattered clouds,12.52,-70.03,Divi Village Golf & Beach Resort
296,Nisia Floresta,BR,80.6,scattered clouds,-6.09,-35.21,Rancho Crepusculo
297,San Jose,US,89.01,smoke,37.34,-121.89,The Westin San Jose
298,Ariquemes,BR,90.1,clear sky,-9.91,-63.04,Hotel Sol Nascente - Ariquemes - RO
301,Zamora,EC,87.8,overcast clouds,-4.07,-78.96,Cabañas Ecológica Copalinga
302,Alim,PH,80.46,light rain,9.56,122.49,Calamai Tropica
303,Texarkana,US,90.0,scattered clouds,33.43,-94.05,Holiday Inn Express & Suites Texarkana
306,Broome,US,84.99,few clouds,42.25,-75.83,Chenango Valley State Park
309,Gasa,PS,82.0,clear sky,31.5,34.47,رابطة الفنانين الفلسطينيين
313,Tual,ID,78.76,scattered clouds,-5.67,132.75,Grand Vilia Hotel
315,Sassandra,CI,75.24,scattered clouds,4.95,-6.08,la terrasse
317,Kousseri,CM,80.47,overcast clouds,12.08,15.03,Résidence le Palmier
318,San-Pedro,CI,75.34,few clouds,4.75,-6.64,Hotel Maria
320,Aden,YE,86.23,scattered clouds,12.78,45.04,Sama Emirate Hotel
321,Sumbe,AO,70.18,overcast clouds,-11.21,13.84,Hotel Ritz Sumbe
322,Kenora,CA,78.8,broken clouds,49.82,-94.43,Maynard Lake Lodge
323,Kemri,IN,79.99,few clouds,28.82,79.22,Malik Banquet Hall
324,Lake Charles,US,93.2,scattered clouds,30.21,-93.2,La Quinta Inn & Suites by Wyndham Lake Charles Casino Area
330,Ponta Do Sol,PT,73.0,clear sky,32.67,-17.1,Hotel do Campo
332,Puerto Colombia,CO,86.0,shower rain,10.99,-74.95,Hotel El Emigrante
333,Grand-Lahou,CI,75.27,scattered clouds,5.14,-5.02,Hotel Beatitude de Grand Lahou
335,Ponta Delgada,PT,77.0,few clouds,37.73,-25.67,Vila Nova Hotel
339,Edwardsville,US,84.99,scattered clouds,38.81,-89.95,Country Hearth Inn & Suites Edwardsville St. Louis
340,Hambantota,LK,80.6,broken clouds,6.12,81.12,Bungalow 63
342,Katsuura,JP,78.8,light intensity shower rain,35.13,140.3,Katsuura Hotel Mikazuki
343,Huilong,CN,84.0,clear sky,31.81,121.66,Hilton Garden Inn Qidong
344,Champerico,GT,80.6,thunderstorm with light rain,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
345,Sulangan,PH,83.93,overcast clouds,11.14,123.72,Maia's Beach Resort
346,Itarema,BR,82.38,clear sky,-2.92,-39.92,Windvillage
348,Ibra,OM,82.33,overcast clouds,22.69,58.53,مزرعة راحة النفوس المنزفة
349,Auki,SB,77.99,overcast clouds,-8.77,160.7,Auki Motel
350,Havelock,US,89.6,few clouds,34.88,-76.9,Sherwood Motel
