City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rio Grande,BR,-32.03,-52.1,62.6,36,0,8.05,clear sky
1,Kumluca,TR,36.37,30.29,85.8,37,0,7.4,clear sky
2,Nikolskoye,RU,59.7,30.79,66.2,63,40,4.47,scattered clouds
3,Dingle,PH,11.0,122.67,76.44,89,94,2.17,overcast clouds
4,Malumfashi,NG,11.79,7.62,73.35,82,97,5.12,overcast clouds
5,Mataura,NZ,-46.19,168.86,39.0,97,96,1.01,overcast clouds
6,Rutana,BI,-3.87,30.1,64.62,54,76,4.14,broken clouds
7,Lima,PE,-12.04,-77.03,62.6,72,90,12.75,overcast clouds
8,Melito Di Porto Salvo,IT,37.92,15.77,82.4,78,0,16.11,clear sky
9,Hilo,US,19.73,-155.09,82.4,69,20,5.82,few clouds
10,Sibolga,ID,1.74,98.78,74.88,84,57,3.38,broken clouds
11,Pisco,PE,-13.7,-76.22,64.99,82,75,8.05,broken clouds
12,Albany,US,42.6,-73.97,87.01,42,22,8.77,few clouds
13,Sur,OM,22.57,59.53,81.16,74,98,13.51,overcast clouds
14,Tetiz,MX,20.97,-89.93,93.2,56,75,3.36,broken clouds
15,Bluff,NZ,-46.6,168.33,39.0,97,94,1.01,overcast clouds
16,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,89.82,51,50,1.81,light rain
17,Ushuaia,AR,-54.8,-68.3,44.6,84,40,17.22,shower rain
18,Kaitangata,NZ,-46.28,169.85,50.0,83,100,5.01,overcast clouds
19,Yaan,NG,7.38,8.57,75.72,90,100,4.12,moderate rain
20,Punta Arenas,CL,-53.15,-70.92,46.4,65,40,23.04,scattered clouds
21,Caravelas,BR,-17.71,-39.25,71.87,77,100,13.49,overcast clouds
22,Ribeira Grande,PT,38.52,-28.7,73.4,78,40,6.93,scattered clouds
23,Bathsheba,BB,13.22,-59.52,87.8,70,20,10.29,few clouds
24,Ilanskiy,RU,56.24,96.06,52.77,92,100,6.85,overcast clouds
25,Marsh Harbour,BS,26.54,-77.06,85.06,75,0,15.95,clear sky
26,Saskylakh,RU,71.92,114.08,35.69,85,0,4.61,clear sky
27,Teknaf,BD,20.86,92.31,79.74,87,100,3.42,light rain
28,Merauke,ID,-8.47,140.33,73.04,89,15,11.88,few clouds
29,Vaini,TO,-21.2,-175.2,75.2,94,20,6.93,few clouds
30,Port Blair,IN,11.67,92.75,82.22,78,100,12.86,overcast clouds
31,Pangnirtung,CA,66.15,-65.71,50.0,76,20,9.17,few clouds
32,Busselton,AU,-33.65,115.33,50.0,84,80,11.63,broken clouds
33,Chokurdakh,RU,70.63,147.92,30.83,99,98,5.59,overcast clouds
34,Prince Rupert,CA,54.32,-130.32,59.0,82,90,13.87,overcast clouds
35,Hasaki,JP,35.73,140.83,77.0,94,75,4.7,mist
36,Hobart,AU,-42.88,147.33,46.4,81,90,16.11,light intensity shower rain
37,Kudahuvadhoo,MV,2.67,72.89,84.38,68,22,8.23,few clouds
38,Cabo San Lucas,MX,22.89,-109.91,91.4,58,5,9.17,clear sky
39,Broska,UA,45.37,28.78,75.2,60,38,3.36,scattered clouds
40,Tasiilaq,GL,65.61,-37.64,50.0,53,20,12.75,few clouds
41,Mar Del Plata,AR,-38.0,-57.56,60.8,31,0,16.11,clear sky
42,Dandong,CN,40.13,124.39,68.88,95,99,1.39,overcast clouds
43,Port Elizabeth,ZA,-33.92,25.57,59.0,72,0,4.7,clear sky
44,Eyrarbakki,IS,63.86,-21.15,60.01,76,33,8.05,scattered clouds
45,Ilulissat,GL,69.22,-51.1,46.4,61,20,4.7,few clouds
46,Flinders,AU,-34.58,150.86,50.0,59,1,11.99,clear sky
