City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Longyearbyen,SJ,2020-08-19 01:26:01,78.22,15.64,44.6,70,75,10.29
1,Butaritari,KI,2020-08-19 01:26:01,3.07,172.79,83.53,71,0,10.25
2,Coahuayana,MX,2020-08-19 01:26:01,18.73,-103.68,73.4,88,90,11.41
3,Trapani,IT,2020-08-19 01:26:02,37.83,12.67,75.0,88,100,3.36
4,Thompson,CA,2020-08-19 01:24:13,55.74,-97.86,64.4,72,75,8.05
5,Rikitea,PF,2020-08-19 01:22:42,-23.12,-134.97,71.96,80,22,11.03
6,Teguise,ES,2020-08-19 01:26:03,29.06,-13.56,71.6,83,0,25.28
7,Castro,BR,2020-08-19 01:26:03,-24.79,-50.01,59.07,91,100,9.69
8,Dalvik,IS,2020-08-19 01:26:03,65.97,-18.53,50.0,76,90,2.24
9,Atuona,PF,2020-08-19 01:22:47,-9.8,-139.03,78.94,74,1,20.85
10,Kavaratti,IN,2020-08-19 01:26:04,10.57,72.64,81.34,80,99,10.04
11,Killarney,IE,2020-08-19 01:26:04,52.05,-9.52,55.06,91,100,2.35
12,Bambous Virieux,MU,2020-08-19 01:26:04,-20.34,57.76,71.6,68,40,10.29
13,Dikson,RU,2020-08-19 01:26:05,73.51,80.55,53.83,71,0,8.95
14,Tasiilaq,GL,2020-08-19 01:22:59,65.61,-37.64,44.6,70,99,4.7
15,Padang,ID,2020-08-19 01:26:05,-0.95,100.35,81.5,69,18,3.04
16,Tiksi,RU,2020-08-19 01:22:50,71.69,128.87,39.96,77,93,12.5
17,Kungurtug,RU,2020-08-19 01:26:07,50.6,97.52,60.89,58,93,1.95
18,Hithadhoo,MV,2020-08-19 01:26:07,-0.6,73.08,83.95,73,18,9.86
19,Ribeira Grande,PT,2020-08-19 01:26:07,38.52,-28.7,71.47,82,72,22.12
20,Isangel,VU,2020-08-19 01:26:07,-19.55,169.27,78.8,65,20,8.05
21,Port Elizabeth,ZA,2020-08-19 01:26:08,-33.92,25.57,50.0,87,75,19.46
22,Port Moresby,PG,2020-08-19 01:22:20,-9.44,147.18,82.4,69,40,5.82
23,Chokurdakh,RU,2020-08-19 01:26:08,70.63,147.92,38.64,90,100,10.09
24,Chegutu,ZW,2020-08-19 01:26:09,-18.13,30.14,57.24,70,0,3.42
25,Kaeo,NZ,2020-08-19 01:23:13,-35.1,173.78,63.0,58,72,7.0
26,Jamestown,US,2020-08-19 01:26:09,42.1,-79.24,64.99,77,1,6.93
27,Vao,NC,2020-08-19 01:22:48,-22.67,167.48,68.58,59,0,6.33
28,Punta Arenas,CL,2020-08-19 01:26:10,-53.15,-70.92,32.0,87,57,9.17
29,Albany,US,2020-08-19 01:25:22,42.6,-73.97,71.01,90,0,5.26
30,Komsomolets,KZ,2020-08-19 01:26:10,53.75,62.07,46.72,82,0,13.56
31,Shaghat,AM,2020-08-19 01:26:10,39.56,45.91,68.0,56,75,11.41
32,Luderitz,NA,2020-08-19 01:26:11,-26.65,15.16,54.84,47,0,18.14
33,Calella,ES,2020-08-19 01:26:11,41.62,2.67,73.99,91,47,5.01
34,Banda Aceh,ID,2020-08-19 01:26:11,5.56,95.32,81.41,73,100,3.67
35,Kruisfontein,ZA,2020-08-19 01:26:12,-34.0,24.73,48.58,80,99,17.92
36,Qaanaaq,GL,2020-08-19 01:22:43,77.48,-69.36,44.46,82,100,6.42
37,Ushuaia,AR,2020-08-19 01:26:12,-54.8,-68.3,32.0,90,40,13.87
38,Port-Gentil,GA,2020-08-19 01:26:12,-0.72,8.78,75.31,89,100,16.42
39,Husavik,IS,2020-08-19 01:23:26,66.04,-17.34,50.0,76,90,2.24
40,Georgetown,MY,2020-08-19 01:24:26,5.41,100.34,82.4,88,20,3.36
41,Adrar,MR,2020-08-19 01:26:13,20.5,-10.07,99.18,13,68,13.2
42,Hilo,US,2020-08-19 01:26:14,19.73,-155.09,82.4,61,90,4.7
43,Daru,PG,2020-08-19 01:26:14,-9.08,143.21,79.43,62,2,9.78
44,Anito,PH,2020-08-19 01:26:14,12.45,125.29,79.57,86,100,5.55
45,Pacific Grove,US,2020-08-19 01:22:59,36.62,-121.92,84.0,47,90,6.93
46,Whitefish,US,2020-08-19 01:26:15,48.41,-114.34,87.8,29,1,8.05
47,Provideniya,RU,2020-08-19 01:22:50,64.38,-173.3,57.2,62,93,11.18
48,Hasaki,JP,2020-08-19 01:26:15,35.73,140.83,89.01,66,75,3.36
